According to Gran  the company has no plans to move all production to Russia  although that is where the company is growing .,neutral
Both operating profit and sales for the three-month period increased  respectively from EUR0 .3 m and EUR13 .1 m  as compared to the corresponding period in 2005 .,positive
`` The combined activities will create value for shareholders and be good for our employees and customers .,positive
Operating margin  however  slipped to 14.4 % from 15.1 %  dragged down by a poor performance in enterprise solutions .,negative
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,positive
GE is building the facility with wind power developer Invenergy Wind LLC .,neutral
Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,negative
The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad  mainly in the US and Asia .,neutral
Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit  which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .,negative
Stockholm  3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .,neutral
Cencorp would focus on the development  manufacture and marketing of standard products for production automation .,neutral
PGE Belchatow runs the 4.44 GW Belchatow coal-fired power plant  and Fortum has intentions to start a CCS demonstration project jointly with Teollisuuden Voima Oyj ( TVO ) - another Finnish utility - at the their jointly owned 565MW Meri-Pori coal-fired facility .,neutral
The segment has an annual revenue of approximately EUR400m  the company said .,neutral
As a result  it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms .,neutral
Deliveries have started and the network will be ready for a launch soon .,positive
Lember said the matter was topical also in Estonia  where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .,neutral
By 14:29 CET on Monday  shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .,positive
This could be any of us at any time  '' she said .,neutral
The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption .,neutral
Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .,positive
In addition  the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .,neutral
EPS for the quarter was EUR0 .00  as compared with EUR0 .01 in the third quarter of 2008  representing a Group net sales for the third quarter were EUR15 .3 m  up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .,positive
Sales by Seppala diminished by 6 per cent .,negative
28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .,positive
`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',positive
Talvik says the relocation of application programs on servers will continue  while HP servers were approved because of HP supplying a tailor-made solution to Elisa .,neutral
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive
treatment products in Usa  Canada  Mexico  Australia and Brazil Today  Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries .,neutral
The company designs  manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country  alpine and Nordic Walking poles  floorball sticks and antenna radomes .,neutral
Its market share widened to 48.51 percent from 48.31 percent a year earlier .,positive
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,negative
The EB Tough VoIP Field Phone is equipped with an integrated speaker  Ethernet and SHDSL connectivity  and enables several innovative applications .,neutral
Its market share is 6 percent according to AC Nielsen 's 2008 data .,neutral
In addition to its stake in MegaFon  Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones  51 % in telecom equipment producer Peter-Servis and a number of other minor assets .,neutral
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,positive
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral
In the Czech Republic  the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary  Poland and Romania by the end of the first quarter of 2009 .,neutral
Sponda is a property investment company  specialising in commercial properties in the largest cities in Finland and Russia .,neutral
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,neutral
Amer Sports divests an industrial site in Rumilly  France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,neutral
The refining margin for the year was $ 13.39 - bbl  compared to $ 10.46 - bbl in the prior year .,positive
www.countryelements.co.uk Designed by Patricia Burt  this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .,neutral
Export declined by 6 percent to 16.4 million liters .,negative
The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4  2007 .,neutral
According to business media reports  Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest  in exchange for a stake in the merged RosTelecom .,neutral
The original patent was filed in Finland under application No. .,neutral
Cargo volume grew by 7 % .,positive
The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .,neutral
The Estonian electronic components factory  Elcoteq  is running out of material because of the closure of air traffic .,negative
( ADPnews ) - Dec 1  2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .,negative
Harold W. Young is an independent broker working closely with several retailers including Ahold USA  Market Basket  CVS  BJ 's Wholesale Club  Hannaford and Cumberland Farms .,neutral
The maximum number of new shares to be offered is 22 million .,neutral
The donations are granted to Aalto University and the universities of Helsinki  Tampere  Turku  Eastern Finland  Jyv+�skyl+�  Oulu and Vaasa  and to polytechnics to be announced later .,neutral
The store is located in Poznan in a shopping center named Pestka  the company added .,neutral
The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees  the company said .,neutral
Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005  an increase of 4.5 percent on the previous year  the airline reported Tuesday .,positive
He joins Technopolis from KONE where he has held various positions within the Group  most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .,neutral
Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m  or 12.2 %  of the sales came from the acquisitions made in 2009 .,positive
`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .,positive
The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system .,neutral
The company is involved in the the sale of financial products including insurance  mortgages  car and personal loans  financial brokerage and equipment finance leasing .,neutral
`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .,neutral
The solution will be installed in the USA to support the North American operations of the customer .,neutral
These include software development for internet and mobile telephone content  communications  value-added software  financial services  security applications  systems integration and electronics .,neutral
Marimekko Group 's full-year net sales are estimated to increase by about 10 % .,positive
The selling consortium includes funds managed by OKO Bank 's venture capital unit  Bio Fund Management and Finnish Industry Investment  a government-owned investment group .,neutral
In June it sold a 30 percent stake to Nordstjernan  and the investment group has now taken up the option to acquire EQT 's remaining shares .,neutral
The agreement must be approved by the Russian competition authorities before it enters into force .,neutral
In the second quarter of 2010  the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .,positive
With the acquisition  the company will expand its offering to North  Central and South America  it said .,positive
Hearst will be able to consolidate about 20 % of all Russian market for advertising in press after the purchase .,positive
Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October  the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga  which has won passengers from the Helsinki-Stockholm route .,negative
Thanks to the multiplying effect of wagon performance  transport will be much more efficient  '' says development manager Juha Malkia from VR Cargo .,positive
Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27  and above market expectations of 0.28 eur .,positive
The changes will take effect on 1 January 2010  and they are not estimated to have an impact on the number of employees .,neutral
BasWare Invoice Processing  BasWare Contract Matching  BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay solution suite .,neutral
The Group 's revenue amounts to over EUR 80 million  about half of which is accounted for by exports .,neutral
The Innova 2 building will be located close to downtown  in the immediate vicinity of Paviljonki and the travel center  and within walking distance from the heart of the city thanks to the trade fair bridge .,neutral
CHS Expo Freight is a major Finnish fair  exhibition and culture logistics company that provides logistics services to various events by land  air and sea .,neutral
It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel .,positive
Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m  up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .,positive
The number of magazine and newspaper readers remained unchanged .,neutral
The group had an order book of EUR 7.74 mn at the end of 2007 .,neutral
The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,positive
Another firm Air Liquide was exempted because it left the market in 1998 .,neutral
The facility will be used to refinance Citycon 's existing credit facility  the company said .,neutral
"QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version , QPR ProcessGuide Xpress .",neutral
Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions  but also strengthen our capability to offer industry-leading products for our customers in China . '',positive
The metal has gained 41 percent this year as demand from China  the world 's largest user  increased .,positive
Kiosk and cinema operations have suffered  in particular .,negative
( I&H ) in a move to enhance growth .,positive
Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .,neutral
Budapest  August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders  communications director for Elcoteq 's local unit  Zoltan Krippl told MTI on Monday .,negative
One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,neutral
Because expenditures must be justified to pass budget approval hurdles  we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .,neutral
The respondents praised Finnair 's reliability  Finnishness  and understanding of its target group .,positive
The measures result from weak demand in the shipbuilding industry .,negative
Rapala Fishing Frenzy 2009 .,neutral
The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,neutral
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral
`` Demand for sports equipment was good in 2005 .,positive
Finnish property investor Sponda said it has agreed a 100 mln eur  five-year mln credit facility with Swedbank and a 50 mln eur  seven-year facility with OKO Bank .,neutral
Most of the dividend will go to the Grimaldi family .,neutral
The price will be specified at the completion date .,neutral
The transaction will take place without payment of merger consideration .,neutral
According to CEO Kai Telanne  the company 's newspapers achieved the best financial result ever .,positive
The e-commerce site and flagship will be managed by Marimekko North America Retail LLC  a subsidiary established in the U.S. last year .,neutral
Mr Clausen  however  refused to comment the option that Nordea would consider buying into Citadele Bank .,neutral
The figure does not include food exports from Finland .,neutral
Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,neutral
No financial details of the deployment were disclosed .,neutral
The other seats would go to Edgar Edmonds  an American with experience of the clothing and retail industry  and Christian Fischer  an Austrian with experience in the winter sports goods business .,neutral
ADP News - Jan 13  2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations .,neutral
Lule+� municipality has awarded YIT a 2-year contract  for property management of about one third of the municipality 's properties  with a total area of 140000 sq. metres .,positive
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive
Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008  up from EUR3 .3 m in the corresponding period in 2007 .,positive
The Swedish buyout firm has sold its remaining 22.4 percent stake  almost eighteen months after taking the company public in Finland .,neutral
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,neutral
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,negative
Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal .,positive
Tecnomen  headquartered in Espoo  Finland  develops messaging and charging solutions for telecomms operators and service providers worldwide .,neutral
The company can not give up palm oil altogether  however .,neutral
